application_id,age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,home_ownership,purpose,application_status
APP100291,34,1150155,1187864,48,529,7,Rent,Education,Approved
APP100292,67,2242349,1793864,360,698,39,Own,Medical,Approved
APP100293,37,2782706,1551181,180,672,17,Mortgage,Personal,Approved
APP100294,47,2436499,589766,120,308,8,Own,Home,Pending
APP100295,46,213983,148280,240,562,5,Rent,Home,Pending
APP100296,62,2060823,1333945,240,732,26,Rent,Personal,Approved
APP100297,42,675695,334325,36,794,30,Mortgage,Personal,Pending
APP100298,34,2569760,221529,60,460,14,Rent,Business,Rejected
APP100299,22,387712,1965473,84,324,4,Mortgage,Home,Approved
APP100300,38,2980676,974171,360,384,14,Mortgage,Auto,Pending
APP100301,61,696520,1319150,12,487,26,Rent,Medical,Rejected
APP100302,21,1376455,473797,60,544,4,Own,Home,Rejected
APP100303,64,855437,248311,36,493,10,Own,Auto,Approved
APP100304,47,2478963,172388,36,349,0,Mortgage,Education,Approved
APP100305,27,1301797,741012,180,487,18,Mortgage,Personal,Pending
APP100306,35,2284823,57264,36,459,6,Rent,Personal,Approved
APP100307,48,388210,869109,180,568,7,Rent,Business,Approved
APP100308,36,1468036,683266,360,343,4,Mortgage,Education,Approved
APP100309,26,2750945,1077324,180,735,29,Own,Education,Approved
APP100310,53,2795457,1199584,24,529,19,Rent,Home,Approved
APP100311,53,784341,651441,24,475,37,Own,Auto,Pending
APP100312,26,1304392,937699,60,799,15,Rent,Auto,Approved
APP100313,34,1345520,202289,84,710,8,Rent,Home,Pending
APP100314,32,1783304,638450,180,375,8,Mortgage,Personal,Rejected
APP100315,53,1704543,1957474,60,380,38,Rent,Education,Approved
APP100316,56,496638,1982840,24,301,23,Mortgage,Business,Approved
APP100317,56,2335467,997327,360,608,13,Rent,Auto,Approved
APP100318,66,832170,1882073,360,495,26,Rent,Business,Pending
APP100319,58,1081834,1027539,120,506,22,Mortgage,Home,Rejected
APP100320,36,2553949,295023,120,580,4,Rent,Personal,Approved
APP100321,26,2131026,1742411,360,597,28,Own,Personal,Pending
APP100322,51,1310347,859459,60,300,4,Own,Auto,Rejected
APP100323,65,2754927,1244236,24,359,7,Own,Auto,Approved
APP100324,68,1303435,1315251,120,734,28,Own,Personal,Rejected
APP100325,32,1783387,650670,60,825,17,Rent,Auto,Rejected
APP100326,32,888746,1480307,180,761,8,Rent,Auto,Rejected
APP100327,22,712943,1027549,180,799,2,Rent,Education,Approved
APP100328,27,1576508,764425,60,555,23,Rent,Medical,Approved
APP100329,48,1776454,630933,48,755,27,Own,Education,Approved
APP100330,47,2456287,1505249,60,786,8,Own,Auto,Approved
APP100331,39,1294531,536215,120,791,16,Rent,Business,Approved
APP100332,36,2706459,292092,120,382,13,Rent,Education,Rejected
APP100333,61,1900676,1769403,84,380,35,Mortgage,Business,Approved
APP100334,43,396320,697034,84,521,31,Rent,Education,Approved
APP100335,60,2269484,1300013,360,577,10,Own,Business,Rejected
APP100336,68,1809498,1447044,36,827,20,Mortgage,Education,Approved
APP100337,36,1290189,1684760,24,475,36,Mortgage,Education,Approved
APP100338,30,1508365,1270081,180,758,13,Mortgage,Education,Rejected
APP100339,67,1045015,1430485,360,788,5,Own,Education,Pending
APP100340,52,1919989,1682559,120,831,11,Own,Medical,Approved
APP100341,35,1787464,1889556,60,404,24,Mortgage,Auto,Pending
APP100342,51,1452371,141371,48,433,39,Mortgage,Personal,Pending
APP100343,46,998551,1499344,60,421,12,Rent,Personal,Rejected
APP100344,65,1316205,390063,12,705,2,Mortgage,Business,Pending
APP100345,33,1593946,1787991,84,678,7,Mortgage,Auto,Approved
APP100346,69,1521265,144564,36,524,16,Mortgage,Education,Approved
APP100347,66,1066017,531207,36,348,3,Rent,Medical,Rejected
APP100348,29,1829597,424622,84,586,1,Own,Auto,Approved
APP100349,29,834334,1226663,360,703,26,Rent,Business,Approved
APP100350,47,1602752,58351,36,561,32,Rent,Personal,Approved
APP100351,23,540338,83198,360,447,9,Own,Business,Approved
APP100352,35,1522004,1033210,84,626,20,Rent,Home,Approved
APP100353,42,2395144,1944746,360,664,22,Rent,Business,Approved
APP100354,68,2489938,1080213,48,625,26,Rent,Auto,Pending
APP100355,69,2145142,919561,360,781,39,Own,Medical,Approved
APP100356,28,2287814,1332888,120,472,35,Rent,Education,Rejected
APP100357,64,384659,1126026,120,635,12,Mortgage,Education,Approved
APP100358,25,1155859,800579,84,771,39,Mortgage,Medical,Approved
APP100359,57,2031901,1197671,60,417,1,Mortgage,Education,Pending
APP100360,62,2441615,56254,84,455,38,Mortgage,Auto,Approved
APP100361,64,1831977,526751,240,327,5,Own,Medical,Approved
APP100362,31,2590221,1364087,180,506,4,Own,Business,Rejected
APP100363,64,964578,716024,12,324,4,Mortgage,Business,Approved
APP100364,26,629778,155867,120,711,4,Own,Home,Approved
APP100365,46,441865,292659,240,348,18,Own,Education,Pending
APP100366,44,1831510,1739032,180,681,25,Own,Education,Approved
APP100367,36,2062516,692675,60,619,29,Rent,Auto,Rejected
APP100368,22,998873,94175,48,844,0,Mortgage,Business,Approved
APP100369,58,2394240,1471170,120,491,11,Mortgage,Auto,Approved
APP100370,37,2269682,1084426,120,489,5,Mortgage,Education,Approved
APP100371,53,1208373,930203,48,433,5,Rent,Personal,Rejected
APP100372,41,868598,1795089,60,596,29,Mortgage,Personal,Approved
APP100373,39,2278488,661762,48,420,25,Rent,Auto,Pending
APP100374,64,2079929,1166354,12,362,8,Rent,Auto,Rejected
APP100375,25,678201,1502556,12,822,12,Rent,Home,Rejected
APP100376,57,914349,1236412,12,674,36,Rent,Education,Approved
APP100377,57,1560706,455548,60,365,23,Rent,Home,Rejected
APP100378,39,1631202,1379141,84,640,9,Mortgage,Home,Rejected
APP100379,33,664684,1499629,60,467,37,Rent,Medical,Approved
APP100380,21,2856210,288697,360,399,7,Mortgage,Medical,Pending
APP100381,66,1288216,372624,36,559,11,Rent,Business,Approved
APP100382,67,1267661,1366107,48,733,27,Own,Personal,Pending
APP100383,32,369490,282011,36,300,20,Own,Education,Pending
APP100384,22,2652067,1766692,36,495,2,Mortgage,Business,Approved
APP100385,27,858402,263656,84,807,32,Mortgage,Medical,Approved
APP100386,24,2963444,1949730,48,517,9,Mortgage,Home,Approved
APP100387,61,1588848,1359452,48,354,27,Mortgage,Education,Approved
APP100388,64,2649582,913951,120,536,13,Rent,Home,Rejected
APP100389,28,701541,573369,240,676,30,Rent,Personal,Approved
APP100390,57,664424,721784,36,848,35,Own,Personal,Rejected
APP100391,29,2443118,1509601,24,646,30,Rent,Personal,Pending
APP100392,38,2495043,1518953,36,327,36,Own,Business,Pending
APP100393,50,1720661,456884,84,745,21,Own,Education,Approved
APP100394,56,290018,1108604,360,729,2,Rent,Home,Pending
APP100395,63,2842424,1986226,24,658,21,Rent,Personal,Approved
APP100396,23,1301245,551744,12,793,18,Mortgage,Medical,Approved
APP100397,30,2820756,1402138,84,723,28,Own,Medical,Approved
APP100398,34,2638053,385707,360,427,9,Mortgage,Education,Rejected
APP100399,36,2584171,1676463,84,532,27,Own,Auto,Approved
APP100400,69,2128506,381949,360,579,17,Own,Business,Approved
APP100401,59,2085102,630355,120,569,26,Mortgage,Home,Approved
APP100402,36,1691673,945395,12,651,16,Rent,Home,Pending
APP100403,68,269380,772780,60,686,15,Rent,Personal,Rejected
APP100404,45,1286019,381742,180,357,8,Mortgage,Medical,Rejected
APP100405,45,2245515,1299924,84,613,33,Mortgage,Education,Rejected
APP100406,42,2474431,88451,24,321,2,Rent,Business,Approved
APP100407,28,1766785,1967868,24,581,9,Own,Business,Approved
APP100408,66,2186763,151573,120,532,17,Own,Home,Approved
APP100409,21,260884,701031,60,413,6,Mortgage,Auto,Approved
APP100410,29,1511534,1863274,84,845,36,Own,Auto,Pending
APP100411,32,1621630,352410,48,442,13,Rent,Medical,Approved
APP100412,34,2698956,192274,48,331,9,Mortgage,Education,Rejected
APP100413,27,1070944,1500637,120,497,10,Mortgage,Personal,Rejected
APP100414,21,843854,192702,12,717,7,Own,Auto,Pending
APP100415,54,1186660,1804218,60,305,26,Mortgage,Medical,Approved
APP100416,68,677096,929817,48,571,19,Rent,Medical,Pending
APP100417,26,1763587,1745197,180,529,9,Rent,Education,Rejected
APP100418,35,1999850,527945,180,777,34,Mortgage,Auto,Approved
APP100419,45,2443135,325215,60,301,26,Own,Medical,Rejected
APP100420,66,2921584,1927253,36,309,16,Rent,Personal,Approved
APP100421,55,406095,1536240,36,611,20,Mortgage,Business,Rejected
APP100422,58,892318,1826422,36,398,26,Rent,Auto,Rejected
APP100423,49,1041994,673781,36,687,6,Rent,Business,Rejected
APP100424,41,899077,839249,180,453,32,Own,Education,Pending
APP100425,30,2516389,1175583,12,609,10,Own,Personal,Rejected
APP100426,63,590596,925026,12,320,1,Mortgage,Personal,Approved
APP100427,60,283267,523194,84,682,20,Own,Education,Approved
